medID,medEquipmentType,status,currLoc
1,Bed,In-Use,GSTOR001L1
2,Bed,In-Use,GSTOR001L1
3,Bed,In-Use,GSTOR001L1
4,Bed,In-Use,GSTOR001L1
5,Bed,In-Use,GSTOR001L1
6,Bed,In-Use,GSTOR001L1
7,Bed,In-Use,GSTOR001L1
8,Bed,In-Use,GSTOR001L1
9,Bed,Dirty,GSTOR001L1
10,Bed,Dirty,GSTOR001L1
11,Bed,Dirty,GSTOR001L1
12,Bed,Dirty,GSTOR001L1
13,Bed,Dirty,GSTOR001L1
14,Bed,Dirty,GSTOR001L1
15,Bed,Awaiting Transport,GSTOR001L1
16,Bed,Temporarily Outside,GPATI00803
17,Bed,Stored,GPATI01603
18,Bed,Stored,FDEPT00101
19,Bed,Stored,GPATI00403
20,Bed,Stored,GPATI00703
21,Bed,Stored,GPATI00203
22,Bed,Stored,GPATI01203
23,Bed,Stored,GPATI01903
24,Bed,Stored,GPATI01803
25,Bed,Stored,GPATI02003
26,Bed,Stored,GPATI01203
27,Bed,Stored,GSTOR00103
28,Bed,Stored,GSTOR00103
29,Bed,Stored,GSTOR00103
30,Bed,Stored,GSTOR00103
31,Recliner,Dirty,GSTOR00201
32,Recliner,In-Use,GSTOR00201
33,Recliner,Stored,HHALL01303
34,Recliner,Stored,GSTOR00103
35,Recliner,Stored,GSTOR00103
36,Recliner,Stored,GSTOR00103
37,X-ray,Stored,GPATI01003
38,Infusion Pump,In-Use,GPATI01203
39,Infusion Pump,In-Use,GPATI02003
40,Infusion Pump,In-Use,GPATI00803
41,Infusion Pump,In-Use,GSTOR00303
42,Infusion Pump,In-Use,GSTOR00303
43,Infusion Pump,In-Use,GSTOR00303
44,Infusion Pump,In-Use,GSTOR00303
45,Infusion Pump,In-Use,GSTOR00303
46,Infusion Pump,In-Use,GSTOR00303
47,Infusion Pump,In-Use,GSTOR00303
48,Infusion Pump,In-Use,GSTOR00303
49,Infusion Pump,In-Use,GSTOR00303
50,Infusion Pump,In-Use,GSTOR00303
51,Infusion Pump,In-Use,GSTOR00303
52,Infusion Pump,In-Use,GSTOR00303
53,Infusion Pump,In-Use,GSTOR00303
54,Infusion Pump,Stored,GPATI00203
55,Infusion Pump,Stored,GPATI00403
56,Infusion Pump,Stored,GPATI00703
57,Infusion Pump,Stored,GPATI01603
58,Infusion Pump,Stored,GPATI01803
59,Infusion Pump,Stored,GSTOR00303
60,Infusion Pump,Stored,GPATI01903
61,Infusion Pump,Stored,GSTOR00303
62,Infusion Pump,Stored,GDIRT00103
63,Infusion Pump,Stored,GSTOR00103
64,Infusion Pump,Stored,GSTOR00103
65,Infusion Pump,Stored,GSTOR00103
66,Infusion Pump,Stored,GSTOR00103
67,Infusion Pump,Stored,GSTOR00103
68,Infusion Pump,Stored,GSTOR00103
69,Infusion Pump,Stored,GSTOR00103
70,Infusion Pump,Stored,GSTOR00103
71,Infusion Pump,Stored,GSTOR00103
72,Infusion Pump,Stored,GSTOR00103
73,Infusion Pump,Stored,GSTOR00103
74,Infusion Pump,Stored,GSTOR00103
75,Infusion Pump,Stored,GSTOR00103
76,Infusion Pump,Stored,GSTOR00103
77,Infusion Pump,Stored,GSTOR00103
78,Infusion Pump,Stored,GSTOR00103
79,Infusion Pump,Stored,GSTOR00103
80,Infusion Pump,Stored,GSTOR00103
81,Infusion Pump,Stored,GSTOR00103
82,Infusion Pump,Stored,GSTOR00103
83,Infusion Pump,Stored,GSTOR00103
84,Infusion Pump,Dirty,GSTOR00303
85,Infusion Pump,Dirty,GSTOR00303
86,Infusion Pump,Dirty,GSTOR00303
87,Infusion Pump,Dirty,GSTOR00303
