nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
CDEPT002L1,943,237,L1,Tower,DEPT,Day SurGery Family WaitinG Floor L1,Department C002L1
CDEPT003L1,808,237,L1,Tower,DEPT,Day SurGery Family WaitinG Exit Floor L1,Department C003L1
CHALL001L1,695,317,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,713,677,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL005L2,708,673,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L1,1093,677,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL006L2,708,402,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L1,1093,438,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL007L2,693,402,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,693,317,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,693,242,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,1093,242,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
CHALL014L1,808,317,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,928,677,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,713,483,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,695,412,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,1028,677,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
FDEPT00101,580,218,1,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,573,513,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,684,324,1,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,757,539,1,Tower,DEPT,Sharf AdmittinG Center,Sharf Center
FDEPT00501,1091,693,1,Tower,DEPT,EmerGency Department,EmerGency
FDEPT00601,743,422,1,Tower,DEPT,International Patient Center,IPC
FEXIT00101,980,192,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,711,714,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,1062,750,1,Tower,EXIT,EmerGency Department Entrance,EmerGency Entrance
FHALL00101,1018,303,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,989,303,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,980,303,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,936,303,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,913,303,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,832,323,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,721,323,1,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,721,243,1,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,590,243,1,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,590,195,1,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,590,323,1,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,511,323,1,Tower,HALL,Tower Staff Entrance,Hallway F01201
